sno,COMPLAINT ID,COMPLAINT DESCRIPTION,COMPLAINT TYPE,RECEIVED DATE,COMPLAINT DATE,COUNTY,CLOSED DATE,STATUS,ZIP CODE
507,18229,Odor from mold in her bathroom.   Apartment building.,Air,2021-04-20,2021-04-16,Anne Arundel,,Incident Not Applicable to MDE,
508,18228,Painting Cars,Possible Permit Violation,2021-04-08,,Washington,2022-06-21,Incident Closed-Managed,21740
509,18227,Neighbor piling variety of material with intent to burn,Other,2021-04-13,2021-04-13,Caroline,2022-03-08,Incident Closed-Managed,21629
510,18225,Valley Proteins is releasing industrial air pollution.,Odor,2021-04-13,2021-04-13,Baltimore City,2021-04-16,Incident Closed-Managed,
511,18223,Condominium plans to install fans and vents below patio to remove vehicle exhaust gases from the garage.,"Air, Fumes, Odor",2021-04-12,2021-04-12,Montgomery,2021-04-15,Incident Closed - No further action,20910
512,18218,He smells an industrial odor in the residential neighborhood.,Odor,2021-04-12,2021-04-12,Baltimore City,2021-04-14,Incident Closed-Managed,
513,18217,He smells an industrial odor in the residential neighborhood.,Odor,2021-04-08,2021-04-08,Baltimore City,2021-04-14,Incident Closed-Managed,
514,18213,"Concern of a future burn of propane tanks, oil tanks, tires and gas tanks located at 27082 Anthony Mill Road, Denton.",Air,2021-04-12,2021-04-08,Caroline,,Referred to ARA,
515,18209,Smoke and odor from Chamber Funeral Home,Other,2021-04-02,2021-03-11,Prince Georges,2021-04-12,Incident Closed-Managed,20737
516,18207,Dust coming from a concrete plant,Fugitive Dust/Particulate Matter,2021-04-07,2021-04-07,Baltimore,2021-04-08,Incident Closed-Managed,
517,18206,The complainant called to inform the Department that a body shop was using illegal paint. The complainant had work done at Premiere Custom Z and was given a can of paint for their car which was purchased in Pennsylvania.,"Air, Other",2021-04-07,2021-04-06,Carroll,2021-04-07,Incident Closed - No further action,21157
518,18205,Apartment indoor air.,Air,2021-04-07,2021-03-22,Anne Arundel,,Incident Not Applicable to MDE,
519,18204,Apartment.  Mold in her bathroom.,Air,2021-04-07,2021-03-22,Anne Arundel,,Incident Not Applicable to MDE,
520,18203,smoke from open burning at neighbors yard.,Air,2021-04-07,2021-03-22,Anne Arundel,2021-04-07,Incident Closed-No Violation Observed,
521,18201,Smoke from open burning at neighbors yard.,Air,2021-04-07,2021-03-22,Anne Arundel,2021-04-07,Incident Closed-No Violation Observed,
522,18200,Odor on Bucks School House Rd,Odor,2021-04-06,2021-04-06,Baltimore,2021-04-06,Incident Closed-Managed,
523,18199,Odors emanating from apartment next door,Odor,2021-04-06,2021-04-06,St. Marys,,Incident Not Applicable to MDE,
524,18198,Insufficient filtration system allowing toxic powder coating particulates to enter the atmosphere.,Fugitive Dust/Particulate Matter,2021-03-18,2021-03-18,Baltimore City,2022-01-27,Incident Closed-Managed,
525,18196,Open Burning of Garbage,Open Burning,2021-03-31,,Washington,,Referred to Outside Agency,21711
526,18195,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-30,2021-03-30,Baltimore City,2021-03-31,Incident Closed-Managed,
527,18194,The Marc Train workers are on the tacks by his home creating dust.,Fugitive Dust/Particulate Matter,2021-03-26,2021-03-26,Baltimore City,2021-03-31,Incident Closed-Managed,
528,18193,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-25,2021-03-25,Baltimore City,2021-03-31,Incident Closed-Managed,
529,18192,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-24,2021-03-24,Baltimore City,2021-03-31,Incident Closed-Managed,
530,18191,The laundry building behind her home is releasing lint into the air,Fugitive Dust/Particulate Matter,2021-03-23,2021-03-23,Baltimore City,2021-03-31,Incident Closed-Managed,
531,18190,That a renovation is scrapping paint off a home.,Fugitive Dust/Particulate Matter,2021-03-23,2021-03-23,Baltimore City,2021-03-31,Incident Closed-Managed,
532,18189,That a renovation is scrapping paint off a home.,Fugitive Dust/Particulate Matter,2021-03-23,2021-03-23,Baltimore City,2021-03-31,Incident Closed-Managed,
533,18188,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-19,2021-03-19,Baltimore City,2021-03-31,Incident Closed-Managed,
534,18186,Dust issue from the harbor tunnel construction,Other,2021-03-30,2021-03-30,Howard,2021-04-05,Incident Closed-Managed,
535,18175,Indoor Air,Air,2021-03-23,2021-03-23,Not Yet Determined,,Incident Not Applicable to MDE,
536,18174,Tearing down and burning chicken house.,Open Burning,2021-03-24,2021-03-24,Worcester,2022-03-08,Incident Closed-Managed,21863
537,18173,Fugitive dust coming from concrete plant,Fugitive Dust/Particulate Matter,2021-03-23,2021-03-23,Baltimore,2021-03-31,Incident Closed-No Violation Observed,21105
538,18172,Indoor air,Other,2021-03-22,2021-03-22,Baltimore,,Incident Not Applicable to MDE,
539,18169,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-17,2021-03-17,Baltimore City,2021-03-19,Incident Closed-Managed,
540,18168,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-16,2021-03-16,Baltimore City,2021-03-19,Incident Closed-Managed,
541,18167,She works for a used auto sales and the business next door is causing dust.,Fugitive Dust/Particulate Matter,2021-03-12,2021-03-12,Baltimore City,2021-03-19,Incident Closed-Managed,21224
542,18164,strong gas smell,Other,2021-03-17,2021-03-17,Prince Georges,2021-03-19,Incident Closed-Managed,
543,8161,Complainants neighborhood air quality concerns.  She states she has breast cancer.,Air,2021-03-18,2021-03-16,Charles,2021-03-18,Incident Closed-No Violation Observed,
544,8160,"Complainant smells smoke, possibly from a homeowners backyard firepit.",Air,2021-03-18,2021-03-11,Anne Arundel,2021-03-18,Incident Closed-No Violation Observed,
545,8157,autoshop spray painting car without a paint booth,Other,2021-03-11,2021-03-11,Prince Georges,2021-03-31,Incident Closed-Managed,20710
546,8156,Rubber Odors from Burning,Odor,2021-03-15,,Allegany,2022-03-10,Incident Closed-No Violation Observed,21502
547,8154,Open Burning,Open Burning,2021-03-12,,Allegany,2022-06-21,Incident Closed - No further action,21532
548,8154,Open Burning,Open Burning,2021-03-12,,Allegany,2022-06-21,Incident Closed - No further action,21532
549,8150,Atmospheric Freon Release,Air Pollutant Release,2021-03-11,,Washington,,Referred to Outside Agency,21740
550,8149,Smoke from Solar Farm Construction Project,Fugitive Dust/Particulate Matter,2021-03-10,2021-03-10,Allegany,2022-06-21,Incident Closed - No further action,21530
551,8148,Dust from concrete plant,Fugitive Dust/Particulate Matter,2021-03-09,2021-03-11,Harford,2021-03-16,Incident Closed-No Violation Observed,21040
552,8147,Neighbor is drilling in basement and creating dust in complainants basement.,Fugitive Dust/Particulate Matter,2021-03-09,2021-03-09,Baltimore,2021-03-15,Incident Closed - No further action,
553,8146,Fumes from Burning,Fumes,2021-03-09,2021-03-09,Baltimore,2021-03-15,Incident Closed - No further action,
554,8145,Fumes from burning leaves,Fumes,2021-03-11,2021-03-12,Baltimore,2021-03-15,Incident Closed - No further action,
555,8144,She called regarding pollution from a construction site.,Fugitive Dust/Particulate Matter,2021-03-11,2021-03-11,Baltimore City,2021-03-12,Incident Closed-Managed,
556,8143,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-11,2021-03-11,Baltimore City,2021-03-16,Incident Closed-Managed,
557,8142,He smells an industrial odor in the residential neighborhood.,Odor,2021-03-10,2021-03-10,Baltimore City,2021-03-12,Incident Closed-Managed,
558,8141,"Contractor doing work across the street.  Complainant is seeing red dust on cars in the neighborhood.  Worried about lead paint, as house is cover 100 years old.",Fugitive Dust/Particulate Matter,2021-03-04,2021-03-04,Baltimore City,2021-03-12,Incident Closed-Managed,
559,8140,Open burning of trash,Open Burning,2021-03-03,2021-03-02,Carroll,,Referred to Outside Agency,21158
560,8139,Concerned site is operating an illegal wood grinder.,ARA AQCP non-regulated entity,2021-03-04,2021-03-04,Calvert,2021-03-12,Incident Closed-Managed,20754
